num_leaves,max_depth,min_child_samples,best iteration,model size,train rmse,test rmse,test rmse stddev
1000,200,50,482,27637898,1884280,4602577,153382.94989524304
500,200,50,600,25928049,1794538,4592886,152922.31141115134
300,200,50,796,20655822,1883366,4528393,149149.3871098803
250,200,50,977,21110228,1861713,4505285,150157.502108884
200,200,50,1206,20850236,1849330,4479905,153217.28262361197
150,200,50,1519,19692284,1914528,4469998,150380.8754318329
100,200,50,2176,18789463,1967749,4453595,140686.8493381957
50,200,50,3553,15647613,2223664,4448423,140324.25861069522
31,200,50,4996,13968111,2433976,4455756,133929.82569764613
25,200,50,6135,14036844,2473561,4463405,137193.20126029244
20,200,50,6422,11977420,2689821,4468770,127471.76445895992
10,200,50,9573,9742459,3158393,4516330,144755.53035827575
1000,200,40,457,32670452,1608440,4595139,155456.95534447036
500,200,40,581,25014124,1635148,4551596,163705.7133395563
300,200,40,848,21906684,1700756,4487467,154572.8169804535
250,200,40,1015,21843030,1702804,4483491,156343.94900619198
200,200,40,1309,22541738,1679222,4467510,149188.82678213494
150,200,40,1628,21016638,1751558,4449981,151831.9895627326
100,200,40,2329,20034489,1813967,4447538,151165.23413018207
50,200,40,3684,16163145,2116749,4426816,137010.40440101185
31,200,40,5297,14758091,2302075,4444290,135098.78062681068
25,200,40,6093,13896838,2409952,4456815,147657.6480636887
20,200,40,6489,12065533,2615232,4465210,142649.03074121932
10,200,40,9368,9516495,3127457,4508497,145636.09351756735
1000,200,30,412,35241796,1333247,4584339,158479.59376492834
500,200,30,690,29576186,1304598,4501157,148755.57685388214
300,200,30,1050,26979919,1362171,4458974,140514.58346094823
250,200,30,1196,25619927,1419320,4440650,145982.71884926115
200,200,30,1417,24278562,1484011,4437947,146176.21866631764
150,200,30,1781,22875024,1575026,4420608,138307.40217219328
100,200,30,2221,19013868,1766275,4419634,143189.82219101264
50,200,30,4070,17775063,1924898,4414528,132088.22079906068
31,200,30,5616,15583362,2146767,4426174,141366.26263263493
25,200,30,5766,13103860,2386556,4442899,138621.0677792383
20,200,30,6426,11910052,2547800,4446576,125871.9937879084
10,200,30,9217,9339520,3068234,4504117,137928.4381083003
1000,200,25,417,35580514,1157257,4565078,152250.70646336486
500,200,25,670,28619641,1235983,4489010,160681.96389648007
300,200,25,1077,27587764,1273887,4440967,146339.21062147274
250,200,25,1249,26678438,1339591,4431234,147688.70325706294
200,200,25,1436,24537954,1399411,4424472,148609.84484322468
150,200,25,1853,23727706,1480682,4409198,146730.26373939638
100,200,25,2585,22056208,1577897,4398929,138650.64083667012
50,200,25,4125,17964770,1875936,4406428,125846.34922885508
31,200,25,5655,15654187,2103818,4414901,130166.5483973334
25,200,25,6207,14070443,2269596,4430404,134562.58025016027
20,200,25,7036,13007759,2436113,4439130,134205.63341912915
10,200,25,8786,8890864,3068226,4502340,139068.0270344066
1000,200,20,395,33654110,1056351,4557872,156733.49267583818
500,200,20,738,31449360,1083358,4477357,134312.90257945677
300,200,20,1075,27467473,1228428,4427170,140849.94184349405
250,200,20,1472,31338937,1138506,4425008,146518.6847251392
200,200,20,1465,24954341,1327448,4414120,142774.12198075312
150,200,20,1948,24879968,1357610,4394494,132062.50301042962
100,200,20,2831,24083644,1418137,4382888,129985.7437450825
50,200,20,4125,17925541,1816822,4395768,126432.70774260531
31,200,20,5430,14999222,2074058,4408703,136708.1015223713
25,200,20,6849,15488266,2108465,4413688,133735.63802994677
20,200,20,7143,13178641,2343670,4427242,135371.1816250072
10,200,20,9482,9577670,2942739,4488307,145559.14171753556
1000,200,15,411,36525323,881922,4555116,130815.3802526707
500,200,15,780,34617815,969633,4471649,132868.10509892055
300,200,15,1260,33506648,1014112,4432982,141325.0880341581
250,200,15,1326,29356719,1154481,4420621,138640.8477978859
200,200,15,1740,30799719,1098134,4402739,147521.03428208266
150,200,15,2125,28174856,1228048,4385016,143167.45104063977
100,200,15,3037,26791824,1308831,4380399,131344.30296414075
50,200,15,4564,20459076,1641129,4376800,128258.18975883101
31,200,15,5901,16743173,1937472,4401646,141927.6009886249
25,200,15,7098,16456732,1986546,4388311,129437.97776149977
20,200,15,7712,14548766,2187004,4414485,144990.6074152667
10,200,15,8836,9050418,2961715,4487220,157801.98498587144
1000,200,10,449,42653031,713194,4556383,142857.5501624512
500,200,10,878,41671833,798417,4475201,139124.08978921417
300,200,10,1333,37859976,908586,4419125,135725.24617256605
250,200,10,1469,34712927,983934,4411438,129672.66519542034
200,200,10,1875,35394919,967154,4378000,133338.49061058598
150,200,10,2555,36125459,985843,4374639,129040.42892554025
100,200,10,2815,26338631,1269568,4367959,126792.2038219298
50,200,10,4586,21673744,1544357,4362232,126028.40564358867
31,200,10,6007,17851738,1822709,4374915,122444.13566586975
25,200,10,7184,17395902,1894735,4383208,133338.77017348373
20,200,10,8124,15933624,2047102,4392150,124651.38040334349
10,200,10,9811,10288242,2783887,4468987,135052.8713243368
1000,200,5,681,64698488,363919,4571025,129408.05041484309
500,200,5,1077,51067605,532124,4466261,136491.25099753775
300,200,5,1691,48025650,604904,4396486,131231.23222974926
250,200,5,1955,46244605,646158,4390135,136673.55349671806
200,200,5,2015,38062520,783306,4367499,126452.18583511499
